"","Locus","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","C1_00010W",6.34345844350671,2.20861290911192,0.993077775721714,2.22400799122387,0.0261479065919214,0.0567260131170699
"2","C1_00020C",183.593755626714,0.839483163840302,0.333956126579036,2.51375284663815,0.0119454115186455,0.030276497389218
"3","C1_00030C",21.8137943771319,0.946742343263271,0.333253221100852,2.84090980467,0.00449850334476831,0.0139367565928722
"4","C1_00040W",114.247372620437,0.288061510184582,0.26023342562568,1.10693508911084,0.26832199367332,0.365718746794979
"5","C1_00050C",5.61671373727132,2.8751880937403,0.762959915051895,3.76846546852299,0.000164254202077357,0.000964035412924287
"6","C1_00060W",1896.74758443688,-0.366818318202313,0.242948063449404,-1.5098631081647,0.131078357916631,0.206437678745271
"7","C1_00070W",2393.99368345222,-1.43661708980022,0.398767058240939,-3.60264736043519,0.000314992723913935,0.00164684459976193
"8","C1_00080C",505.454880026268,0.803679491787336,0.236975035692527,3.39140994087707,0.000695340110824154,0.00313244860318606
"9","C1_00090W",50.9049251128124,-0.0407602022026306,0.318597459703898,-0.127936369111395,0.898199329140251,0.927103571429559
"10","C1_00100C",103.870504608647,0.124313489536558,0.320480779096553,0.387896865100623,0.698092358141317,0.772834957179388
"11","C1_00110W",1200.03799586093,-0.943952816121425,0.318893887886769,-2.96008437909164,0.00307554793609161,0.0102549897474021
"12","C1_00120C",438.758276123311,-0.244202126309369,0.262914163409964,-0.928828341319073,0.352978054261478,0.452870843617476
"13","C1_00130C",734.214449706571,-0.476781405128458,0.213740947669088,-2.23065074955411,0.025704272353639,0.0559148549164443
"14","C1_00140W",709.975119363912,0.372185738787026,0.223227559416674,1.6672929622113,0.0954561653860441,0.159824331898046
"15","C1_00150C",857.476922508755,0.440638802425181,0.229019568796258,1.92402249616139,0.0543517637308282,0.102912209071211
"16","C1_00160C",3469.74051783589,-1.31426047456811,0.320141902981463,-4.10524352585051,4.03889169727089e-05,0.000303389815433171
"17","C1_00170W",738.52177456012,1.58637418196447,0.3430166724423,4.62477281547101,3.75009202395589e-06,4.22977263848261e-05
"18","C1_00180W",10984.4390440475,-1.34856644085666,0.341110903837116,-3.95345450903736,7.70309146094583e-05,0.000518523942518022
"19","C1_00190C",244.781117647048,-0.263577566753119,0.474076789082808,-0.555980745783948,0.578224017327376,0.671124854560362
"20","C1_00200C",65.598990724736,0.474808822752706,0.249202039777483,1.90531675895058,0.0567389082801167,0.106116646244008
"21","C1_00220W",5882.35660197277,-0.652053391226065,0.284312266017142,-2.29344094210396,0.0218226317858007,0.0492756715613909
"22","C1_00230C",225.160151868408,0.00926152069230416,0.14065840157956,0.0658440632646151,0.947501974917327,0.962658404988066
"23","C1_00240C",3.29474944946387,0.65472090642892,0.798638020724894,0.819796815877428,0.412331946545418,0.51451263121744
"24","C1_00270W",105.737999691397,-2.23524008096004,0.482352599511633,-4.63403759661117,3.58601823925957e-06,4.07877783773939e-05
"25","C1_00280C",0.0293520364375823,-0.605626754213951,3.58785685329378,-0.168799029330828,0.865954721851475,0.904003179931198
"26","C1_00290W",1773.06033208855,-3.80481866520646,0.425179423742752,-8.94873658681212,3.59574079588058e-19,9.22667088222958e-17
"27","C1_00310W",1197.25441977823,-0.43244942307564,0.294460860793704,-1.46861427325178,0.141937441234427,0.220360282071357
"28","C1_00320W",401.565278850832,0.559765708173289,0.232848728537526,2.40398868264843,0.0162172753393343,0.0390810748692071
"29","C1_00330C",594.023383547596,0.702867384799579,0.185589928582255,3.78720650505591,0.000152350477282272,0.000908297687514661
"30","C1_00340W",947.666003008394,0.551350970997015,0.219612074508633,2.51056765540158,0.0120537222174925,0.0305148492601479
"31","C1_00350C",2504.95593237867,-0.954322740071432,0.353928445106792,-2.69637197367248,0.00700993385205361,0.0198888658385334
"32","C1_00360W",325.406979693391,0.696658444511121,0.425664204945486,1.6366385437562,0.101706017020242,0.167982517812784
"33","C1_00370W",164.763997544206,0.505273291889062,0.22729424302452,2.22299203519446,0.0262163370494936,0.0568193004828676
"34","C1_00380C",383.131373688521,-0.429302411992006,0.207062019026312,-2.07330351558801,0.0381440417368702,0.0772880694068296
"35","C1_00390W",4624.76129137365,-2.95418580170399,0.385444455946008,-7.66436189736712,1.7972247245714e-14,2.2171531938703e-12
"36","C1_00400W",604.52413738194,-0.232361690260248,0.129996301179957,-1.78744847469609,0.0738650328447641,0.130196460604035
"37","C1_00410C",755.588055429366,-0.627625376984357,0.275901335502679,-2.27481819122352,0.0229168385079751,0.0510841890055693
"38","C1_00420W",693.503869749475,0.526557468797514,0.181964114587012,2.89374347240166,0.00380679029981145,0.0121193845028737
"39","C1_00430W",717.961162601684,0.23184371753081,0.23608656317576,0.982028432334833,0.326085841176283,0.426036796567384
"40","C1_00440W",888.881955134597,0.219942554502624,0.185210390225717,1.18752816315855,0.235019354550707,0.330303026664555
